area,perimetro,eixo_maior,eixo_menor,excentricidade,eqdiasq,solidez,area_convexa,extensao,proporcao,redondidade,compactidade,fator_forma_1,fator_forma_2,fator_forma_3,fator_forma_4,RR_media,RG_media,RB_media,RR_dev,RG_dev,RB_dev,RR_inclinacao,RG_inclinacao,RB_inclinacao,RR_curtose,RG_curtose,RB_curtose,RR_entropia,RG_entropia,RB_entropia,RR_all,RG_all,RB_all,classe
419554,2.354.084,8.322.401,643.96,6.335,7.308.849,996,421223,7.783,1.2924,9.514,8.782,2,15,7.713,9.968,818.459,796.398,738.822,22.055,215.986,280.237,1.0937,2.2148,2.3863,11.0258,143.096,12.1473,-27190106112,-25653710848,-23670239232,409.196,398.173,369.392,BERHI
426810,23.899.141,836.486,6.558.799,6.206,737.178,9.939,429451,7.446,1.2754,939,8.813,2,15,7.767,9.905,1.028.502,935.002,753.912,293.144,226.292,263.304,-214,6.156,1.9011,3.0284,5.0996,9.1839,-46304841728,-36515041280,-24513165312,514.239,467.486,376.928,BERHI
443805,2.390.481,7.972.593,7.105.616,4.535,7.517.114,9.973,445009,8.015,1.122,976,9.429,18,16,889,9.975,1.090.969,1.053.337,916.631,266.087,216.688,289.774,-3.935,639,8.487,4.2331,5.1258,5.4537,-53427851264,-48442896384,-38222077952,545.464,526.669,458.327,BERHI
402279,2.295.863,7.989.365,6.432.753,5.931,7.156.797,9.936,404887,7.867,1.242,9.591,8.958,2,16,8.024,9.966,875.402,912.294,925.991,256.694,199.095,279.792,4.908,2.1545,1.9477,5.5889,12.5304,9.9496,-30746945536,-32178810880,-35126345728,437.705,456.162,46.301,BERHI
426661,2.412.625,845.353,6.453.922,6.459,7.370.493,9.891,431346,783,1.3098,9.211,8.719,2,15,7.602,9.957,1.067.112,1.065.358,1.029.901,276.101,175.812,252.811,-5.655,7.544,6.838,3.3343,6.1684,5.1464,-49347264512,-46849757184,-45315260416,533.538,532.682,514.952,BERHI
439197,2.437.428,8.292.604,6.771.343,5.773,7.477.988,9.893,443940,7.607,1.2247,929,9.018,19,15,8.132,9.959,1.159.496,112.008,1.012.594,27.022,203.893,240.848,-5.571,393,7.029,3.62,4.0908,6.1312,-60103352320,-54276861952,-44722860032,579.733,560.022,506.284,BERHI
442845,2.422.366,8.369.063,6.770.573,5.878,7.508.979,9.941,445459,7.601,1.2361,9.484,8.972,19,15,805,9.951,1.014.155,1.017.015,909.381,316.708,27.382,30.599,-159,5.115,1.0843,3.0302,3.8602,6.1086,-47491162112,-46423900160,-38083399680,507.077,508.507,454.709,BERHI
424225,2.391.501,8.380.681,650.075,6.311,7.349.422,9.946,426523,7.414,1.2892,9.321,8.769,2,15,769,9.914,942.675,864.156,681.772,28.523,24.452,296.457,-74,9.515,2.1508,4.054,6.8878,9.7948,-38428114944,-31304110080,-21079427072,471.329,43.21,340.892,BERHI
416064,2.359.616,8.188.146,6.506.287,6.071,7.278.387,9.924,419269,7.872,1.2585,939,8.889,2,16,7.901,9.944,849.829,87.862,796.564,284.208,254.885,286.012,2.662,8.768,1.9742,4.4209,6.3082,9.9591,-30689249280,-32009418752,-27229378560,424.922,439.337,39.829,BERHI
453074,24.648.979,8.557.032,6.810.208,6.055,7.595.208,9.948,455449,7.757,1.2565,9.371,8.876,19,15,7.878,9.899,1.054.471,97.967,916.094,256.708,214.894,290.892,-3.463,3.953,8.042,3.2829,3.7184,4.4421,-50583461888,-42424696832,-39009394688,52.724,48.985,458.063,BERHI
409032,23.139.509,8.041.159,6.501.132,5.885,7.216.618,9.947,411212,7.422,1.2369,0.96,8.975,2,16,8.054,9.962,787.944,841.383,910.917,23.895,20.773,274.148,2.039,9.941,6.975,3.7212,6.0546,4.7024,-24917446656,-27784316928,-34348648448,393.979,420.703,455.477,BERHI
429203,2.362.936,8.314.949,6.584.715,6.106,7.392.416,9.971,430464,7.487,1.2628,966,8.891,19,15,7.904,9.981,808.682,813.765,855.402,209.225,206.097,279.409,-7.113,3.724,6.058,3.892,4.6949,4.1859,-26841032704,-27160780800,-31955101696,404.367,406.902,427.718,BERHI
453763,2.476.709,8.510.314,684.578,5.941,760.098,9.909,457931,8.015,1.2431,9.296,8.931,19,15,7.977,9.917,1.070.736,1.029.107,1.013.278,303.693,26.271,329.843,-157,5.483,1.0759,3.5008,4.5735,5.445,-53771833344,-48395264000,-49153339392,53.536,514.566,506.654,BERHI
353766,2.150.718,7.205.316,629.297,487,671.14,9.936,356027,8.001,1.145,9.611,9.315,2,18,8.676,9.934,982.516,105.611,1.029.056,256.613,183.511,253.977,-3.165,9.653,9.382,3.7131,6.9901,6.0485,-34145540096,-38250450944,-37541912576,491.242,528.068,514.525,BERHI
288730,1.997.627,7.403.677,4.978.095,7.402,6.063.188,9.891,291913,762,1.4873,9.092,8.189,26,17,6.707,9.975,927.921,938.139,913.814,272.088,248.541,321.713,-1.788,6.322,867,3.3175,4.3363,4.4081,-25085745152,-25247483904,-25406605312,463.976,469.079,456.924,BERHI
411542,23.394.231,8.142.525,6.462.658,6.083,7.238.726,9.925,414646,7.644,1.2599,9.449,889,2,16,7.903,9.958,850.548,827.919,716.549,239.362,192.038,239.877,-3.703,1.4116,2.196,3.3415,8.4816,10.8127,-29232642048,-26736420864,-20871084032,425.262,413.973,358.293,BERHI
383504,2.288.917,7.841.191,6.268.956,6.007,6.987.792,9.907,387106,7.753,1.2508,9.199,8.912,2,16,7.942,9.934,79.753,820.603,783.742,22.469,214.977,295.617,7.062,1.6066,1.4604,4.8731,7.3418,5.8937,-23654332416,-24897929216,-24566759424,398.759,410.298,391.862,BERHI
430176,2396.55,865.903,6.372.376,6.771,7.400.791,9.974,431277,7.671,1.3588,9.412,8.547,2,15,7.305,9.926,1.015.693,968.451,870.888,290.784,212.616,279.579,639,1.6017,1.9217,3.6764,8.8878,9.4488,-45451513856,-39298019328,-33261930496,507.833,484.226,435.443,BERHI
438436,2.417.197,8.603.224,6.521.378,6.522,7.471.506,997,439735,7.464,1.3192,943,8.685,2,15,7.542,995,1.115.693,1.052.123,918.468,28.219,265.826,265.364,-6.699,-898,6.969,3.1126,2.7094,4.8682,-55746183168,-48994922496,-37177774080,557.858,526.067,459.245,BERHI
497802,2.561.291,9.075.524,7.014.491,6.345,7.961.289,9.957,499948,751,1.2938,9.536,8.772,18,14,7.695,9.956,1.032.903,935.957,898.023,277.841,222.596,296.129,-2.143,1.0996,1.42,4.1988,7.7586,7.2485,-53943554048,-42596114432,-41443893248,516.458,467.982,449.025,BERHI
454917,2.485.562,8.697.584,6.720.792,6.347,761.064,9.927,458273,7.387,1.2941,9.253,875,19,15,7.657,9.909,110.813,1.076.579,1.007.983,279.017,207.423,258.809,-3.972,2.725,6.269,2.8257,3.3967,4.289,-56959090688,-51762262016,-46391058432,554.055,538.287,503.994,BERHI
392588,22.742.759,8.033.082,6.258.399,6.269,7.070.068,9.973,393637,7.623,1.2836,9.538,8.801,2,16,7.746,9.943,948.638,992.536,973.874,267.869,204.685,237.467,1.458,6.951,8.957,2.9783,4.9829,6.3596,-35574280192,-37579722752,-36809195520,474.294,496.277,486.937,BERHI
384232,22.634.819,7.872.324,6.248.104,6.083,6.994.422,9.914,387562,7.505,1.26,9.424,8.885,2,16,7.894,9.946,1.071.655,1.038.044,883.855,277.544,197.288,234.434,-4.054,6.507,1.726,3.3659,6.1402,9.3571,-44874883072,-40287244288,-29479108608,535.858,519.051,441.969,BERHI
294273,2004.96,7.352.715,5.109.962,719,6.121.111,9.922,296579,7.693,1.4389,9.199,8.325,25,17,6.931,9.972,889.474,867.787,784.034,274.622,250.674,297.409,67,5.926,1.0261,2.9314,3.9662,4.7676,-23546138624,-22000007168,-18878205952,444.758,43.391,392.043,BERHI
445290,24.353.889,8.578.929,6.638.074,6.335,752.968,994,448000,7.515,1.2924,9.434,8.777,19,15,7.703,9.956,897.273,840.387,75.777,256.111,219.763,303.831,2.158,1.5521,1.7662,4.8948,10.0825,8.1471,-35740303360,-30464757760,-27059025920,448.647,420.194,378.889,BERHI
375936,22.558.411,8.178.654,5.890.416,6.937,6.918.501,9.945,378008,7.365,1.3885,9.283,8.459,22,16,7.156,9.936,735.368,777.196,730.607,222.582,18.686,235.372,7.466,2.1273,2.221,5.8351,131.056,12.0114,-19649556480,-21339979776,-19707056128,367.722,38.862,365.344,BERHI
439650,24.477.371,8.900.155,6.351.306,7.005,7.481.843,9.926,442920,7.633,1.4013,9.221,8.406,2,14,7.067,9.903,100.506,996.946,952.381,307.895,238.822,293.646,5.674,1.5439,1.6777,4.0996,8.0819,8.677,-46067900416,-43327778816,-41025200128,502.533,498.476,476.192,BERHI
433338,2.423.301,8.363.414,6.649.469,6.065,7.427.941,9.932,436301,756,1.2578,9.273,8.881,19,15,7.888,9.921,1.051.259,993.634,891.057,274.703,245.953,275.458,-3.249,4.979,1.0723,3.6208,4.0745,6.1444,-48579203072,-42560143360,-34883911680,52.561,496.808,445.522,BERHI
500669,25.803.069,9.133.773,7.020.745,6.397,7.984.182,9.948,503290,7.571,1.301,945,8.741,18,14,7.641,9.941,926.164,833.659,808.303,236.541,211.765,309.812,466,1.2064,1.2724,4.0502,6.2261,5.9918,-42263990272,-33475536896,-34506137600,463.075,416.845,404.161,BERHI
206921,1.741.754,6.757.445,3.921.072,8.144,5.132.836,9.924,208515,6.815,1.7234,8.571,7.596,33,19,577,9.943,1.379.613,1.312.119,1.207.815,365.473,311.905,237.996,-8.241,-5.959,-3.047,2.9013,2.5624,2.7099,-42309525504,-37289373696,-30410612736,689.824,656.111,603.956,DEGLET
180508,1.600.713,6.074.841,3.792.685,7.812,4.794.058,9.938,181643,7.906,1.6017,8.853,7.892,34,21,6.228,9.975,1.335.625,1.264.289,1.208.297,362.546,339.226,323.695,-7.129,-5.277,-451,2.6209,2.3057,2.1964,-34515537920,-30535002112,-27629987840,667.811,632.147,604.132,DEGLET
296944,21.098.491,7.960.836,4.759.379,8.016,6.148.828,9.871,300810,7.727,1.6727,8.383,7.724,27,16,5.966,9.979,1.300.522,1.162.072,1.186.973,326.442,287.825,284.512,-278,1.989,-3.441,2.6659,2.5351,2.9826,-52902526976,-41217187840,-42963533824,650.261,581.039,593.501,DEGLET
163130,1.535.853,6.030.044,3.450.351,8.201,4.557.451,9.946,164013,7.443,1.7477,869,7.558,37,21,5.712,9.983,1.433.447,140.078,131.607,375.416,344.112,337.438,-9.669,-8.138,-7.316,3.0404,2.7231,2.6219,-36209770496,-34095622144,-29915756544,71.674,700.387,658.039,DEGLET
232841,1.773.947,6.220.897,4.775.462,6.409,5.444.836,9.935,234357,7.671,1.3027,9.298,8.752,27,21,7.661,9.979,1.352.503,1.303.835,1.279.191,369.885,318.359,339.523,-10.349,-8.655,-8.101,3.4213,3.0476,2.7413,-45804568576,-41521836032,-40328445952,676.236,651.925,639.606,DEGLET
247112,1.885.546,6.942.448,4.558.577,7.542,5.609.214,9.899,249644,8.016,1.5229,8.734,808,28,18,6.528,9.942,1.175.797,1.015.464,1.021.078,378.921,360.368,273.096,1.312,6.394,1.991,2.5917,2.6959,3.0646,-37011718144,-27508269056,-26094850048,587.862,507.707,510.516,DEGLET
246014,18.830.909,7.031.213,4.486.442,0.77,5.596.738,9.893,248668,7.861,1.5672,8.718,796,29,18,6.336,993,114.739,958.486,1.109.815,405.753,367.295,316.919,2.692,5.336,-2.604,2.3775,2.3673,2.6215,-35782496256,-24676982784,-31586891776,57.371,47.927,55.492,DEGLET
245029,1.868.936,6.867.975,4.555.268,7.484,5.585.522,9.857,248578,7.605,1.5077,8.815,8.133,28,19,6.614,9.972,1.185.224,1.127.491,1.133.811,387.819,413.421,346.836,51,242,-1.288,2.1451,1.9119,1.9723,-37486510080,-34657673216,-33458407424,592.578,563.728,566.879,DEGLET
210311,1798.92,6.713.657,4.431.094,7.513,5.174.711,919,228850,6.955,1.5151,8.167,7.708,32,21,5.941,9.001,1.367.159,1.257.845,119.656,424.876,394.631,359.058,-5.329,-282,-4.927,2.3433,2.0499,2.1779,-43477700608,-36291342336,-32185325568,683.546,628.905,598.267,DEGLET
154570,1.469.786,535.559,3.681.646,7.262,4.436.267,9.913,155926,7.262,1.4547,8.991,8.283,35,24,6.862,9.981,127.487,1.301.564,1.296.758,378.613,358.514,362.096,-6.703,-6.783,-6.766,2.4375,2.3249,2.5656,-27131885568,-27996452864,-27836606464,637.392,650.736,648.347,DEGLET
260999,1.924.509,6.700.057,4.998.724,6.659,576.467,9.813,265960,7.962,1.3404,8.855,8.604,26,19,7.403,9.922,960.935,789.226,865.607,288.245,266.896,22.673,1.093,1.235,3.894,2.8856,4.316,3.9635,-24630673408,-16425602048,-19050479616,480.471,394.609,432.795,DEGLET
212744,1.720.303,6.282.148,4.323.847,7.254,5.204.556,9.918,214501,7.818,1.4529,9.034,8.285,3,2,6.864,9.972,1.108.176,1.096.777,1.052.265,374.939,378.608,30.306,-1.291,-3.708,-2.504,1.9579,2.138,2.4907,-28291532800,-27781709824,-24325011456,554.153,548.434,526.176,DEGLET
261085,1.933.101,7.295.468,4.584.311,7.779,576.562,9.909,263485,7.887,1.5914,878,7.903,28,18,6.246,994,1.487.853,1.464.621,135.269,304.926,222.659,210.393,-9.532,-231,-2.944,3.704,2.4169,2.4991,-60942561280,-57532338176,-48362651648,743.909,732.306,676.339,DEGLET
219065,1.769.278,6.771.313,4.143.256,7.909,5.281.309,9.937,220445,8.082,1.6343,8.794,0.78,31,19,6.083,9.942,1.336.267,1.331.134,1.256.804,357.477,304.154,257.112,-8.619,-5.562,-1.746,3.067,2.9376,2.7661,-41819258880,-40538902528,-35279843328,668.136,665.593,628.431,DEGLET
179780,1.605.504,5.885.084,3.905.041,7.481,4.784.381,989,181785,8.072,1.507,8.765,813,33,22,6.609,996,1.201.332,1.110.036,1.032.492,319.253,283.657,260.032,-4.392,-602,904,2.5444,2.3567,2.7728,-27132274688,-22657073152,-19264600064,600.758,555.088,51.633,DEGLET
169573,1.548.983,5.948.965,3.644.516,7.904,464.658,9.932,170738,8.245,1.6323,8.881,7.811,35,21,6.101,9.958,1.391.674,1.348.492,1.234.979,39.941,376.941,317.931,-816,-6.504,-6.257,2.4879,2.1186,2.4125,-35847098368,-33293408256,-27052677120,695.829,674.267,617.498,DEGLET
236515,1.795.649,6.042.608,5.024.642,5.555,5.487.625,9.923,238359,8.096,1.2026,9.218,9.082,26,21,8.247,9.918,1.229.294,1.118.094,1.177.575,321.344,292.939,315.135,-4.363,-467,-668,2.5883,2.4984,2.4214,-37450448896,-30408593408,-34214080512,614.645,559.092,588.819,DEGLET
248928,1.888.111,7.190.459,4.430.684,7.876,5.629.786,9.906,251287,7.908,1.6229,8.775,783,29,18,613,9.948,1.092.852,943.835,1.110.067,345.058,293.068,270.055,-535,5.505,-3.706,2.6308,2.7116,2.8246,-31564376064,-22769612800,-31131815936,546.423,471.938,555.064,DEGLET
233279,1812.4,6.490.758,4.593.955,7.064,5.449.955,9.865,236470,7.785,1.4129,8.924,8.396,28,2,705,9.961,1.139.909,1.053.298,1.079.339,364.504,386.125,29.392,-1.454,2.381,-1.816,2.2934,1.9759,2.4983,-32555407360,-28394031104,-27923378176,569.895,526.629,539.634,DEGLET
226401,1.787.076,6.796.693,4.253.827,7.799,536.901,9.934,227903,7.878,1.5978,8.908,7.899,3,19,624,997,1.256.498,1.086.357,1.089.998,36.336,323.742,286.992,-3.623,1.163,-2.136,2.4403,2.2238,2.435,-38306926592,-27985954816,-27535411200,628.198,543.179,54.497,DEGLET
246558,18.652.419,6.642.224,4.753.474,6.985,5.602.922,9.865,249939,7.367,1.3973,8.906,8.435,27,19,7.115,9.943,1.365.562,1.310.401,1.258.078,377.801,34.99,307.168,-4.969,-506,-2.251,2.5611,1.766,1.9373,-49681387520,-45122826240,-40668385280,682.776,655.212,629.048,DEGLET
318444,21.273.269,8.059.418,5.045.724,7.798,6.367.538,9.938,320434,7.874,1.5973,8.842,7.901,25,16,6.242,997,1.234.286,1.130.875,1.189.254,338.065,338.134,258.882,-1.618,-153,-9.316,2.1822,1.6896,3.7494,-51299794944,-43035037696,-45686091776,617.176,565.442,594.638,DEGLET
248660,1877.7,6.961.558,456.765,7.547,5.626.755,9.922,250624,7.863,1.5241,8.863,8.083,28,18,6.533,9.957,1.416.611,1.423.818,1.286.064,334.362,331.596,298.043,-7.849,-7.132,-6.829,2.8531,2.5792,2.5921,-52980715520,-53485248512,-42727874560,708.272,711.944,643.041,DEGLET
300532,20.849.929,7.829.263,4.920.452,7.778,6.185.865,9.832,305681,7.703,1.5912,8.687,7.901,26,16,6.243,9.933,1.278.597,1.086.323,1.006.614,288.416,232.769,211.306,-9.806,-2.954,506,3.6664,3.0674,3.5316,-50794856448,-35256672256,-29725554688,639.317,543.181,503.328,DEGLET
239253,18.399.301,6.709.352,455.55,7.342,5.519.297,9.887,241982,7.912,1.4728,8.881,8.226,28,19,6.767,9.967,1.233.848,1.176.199,1.149.063,298.257,23.692,248.281,-10.003,-6.473,-5.504,3.3784,2.8802,2.8941,-37722738688,-33228630016,-31799359488,616.912,588.128,574.561,DEGLET
190722,1.769.671,6.642.511,4.184.305,7.767,4.927.827,8.928,213622,6.364,1.5875,7.653,7.419,35,22,5.504,8.737,1.392.924,1.379.297,1.230.754,394.841,370.236,312.864,-5.827,-3.706,-4.803,2.3342,1.9726,2.5195,-40318013440,-39088558080,-30143860736,696.395,689.651,615.369,DEGLET
197484,1709.35,6.486.502,3.910.428,7.978,5.014.424,989,199672,7.807,1.6588,8.493,7.731,33,2,5.976,9.913,1.352.943,1.240.971,1.218.252,322.357,271.906,237.059,-9.103,-3.897,-466,3.3831,2.7717,3.4633,-38071001088,-31158208512,-29541638144,676.511,620.538,609.175,DEGLET
242874,1.843.916,6.479.982,4.798.817,672,5.560.906,9.906,245181,7.818,1.3503,8.977,8.582,27,2,7.365,9.945,1.330.381,1.253.597,1.138.121,387.604,356.419,283.122,-6.166,-4.509,-3.694,2.4534,2.2759,2.5079,-46650236928,-40748339200,-32199612416,665.225,626.833,569.092,DEGLET
338670,2.195.106,7.922.873,5.460.946,7.245,6.566.643,9.893,342339,7.525,1.4508,8.832,8.288,23,16,6.869,9.966,973.855,861.272,1.057.102,376.634,336.702,293.294,5.578,5.537,-2.319,2.3073,2.3239,2.4766,-35296911360,-26996934656,-38844313600,486.958,430.669,528.579,DEGLET
205893,1.693.483,6.153.438,4.283.036,718,512.007,9.902,207928,7.873,1.4367,9.022,8.321,3,21,6.923,9.947,1.030.847,1.024.994,984.797,303.633,278.581,272.009,-1.033,268,3.068,2.3559,2.471,2.5771,-22602600448,-21991180288,-20189534208,51.536,51.25,492.367,DEGLET
246430,1.910.897,7.321.472,431.656,8.077,5.601.468,9.843,250368,7.295,1.6961,8.481,7.651,3,18,5.853,9.928,948.991,842.895,945.223,318.051,295.955,299.283,-225,4.803,2.869,2.6366,2.7196,2.3129,-23210934272,-18102403072,-22705868800,474.534,421.443,472.618,DEGLET
189127,1.660.097,6.219.744,389.451,7.797,4.907.178,9.843,192139,7.777,1.5971,8.624,789,33,21,6.225,9.941,1.110.473,1.064.634,1.048.819,314.149,274.387,245.747,-5.273,-173,-1.635,2.669,2.577,3.0346,-24260653056,-21760227328,-20759107584,555.134,532.293,524.366,DEGLET
254321,1.869.425,6.655.273,4.891.867,678,5.690.444,9.899,256906,7.859,1.3605,9.145,855,26,19,7.311,9.946,1.257.103,109.956,1.113.801,380.378,387.884,277.782,-67,2.731,-1.502,2.0226,1.6076,2.0564,-43504730112,-33660418048,-32167581696,628.543,549.797,556.908,DEGLET
320905,2.131.252,7.874.969,5.204.378,7.505,6.392.096,9.918,323570,7.404,1.5131,8.878,8.117,25,16,6.589,9.969,1.111.931,1.032.197,994.469,396.078,418.373,313.704,-1.049,-77,-4.257,1.8921,1.6855,2.2672,-43603816448,-38559551488,-33005092864,555.924,516.068,497.215,DEGLET
237021,1.826.079,661.274,4.574.288,7.221,5.493.492,9.936,238547,7.577,1.4456,8.932,8.307,28,19,6.901,9.977,1.368.769,138.452,1.260.107,375.304,328.196,27.186,-5.088,-5.188,-4.618,2.12,2.1627,2.163,-47932059648,-48059682816,-38609784832,684.336,69.224,630.024,DEGLET
320180,21.535.339,7.811.882,5.256.301,7.398,6.384.871,9.852,324998,7.633,1.4862,8.676,8.173,24,16,668,9.928,782.881,623.648,826.144,213.922,196.335,213.107,5.102,1.4296,6.681,3.4984,7.1775,4.3282,-18838792192,-11710955520,-21023166464,39.148,311.867,413.121,DEGLET
237074,1.827.438,6.761.337,4.479.627,749,5.494.106,9.919,239003,7.295,1.5094,8.921,8.126,29,19,6.603,9.966,1.204.458,1.158.135,1.073.973,331.932,283.677,302.848,-888,-7.688,-4.454,2.8917,2.8582,2.419,-36188073984,-32575666176,-28235442176,602.187,579.058,53.698,DEGLET
212851,1.826.406,6.758.557,4.537.003,7.412,5.205.865,8.987,236831,6.544,1.4897,8.018,7.703,32,21,5.933,8.838,1.227.249,1.229.527,1.112.461,414.672,419.409,333.068,-3.506,-401,-4.648,1.8429,1.9293,2.3172,-35414614016,-35642032128,-27724906496,613.593,614.745,556.209,DEGLET
253677,1.859.243,6.665.269,4.867.168,6.832,5.683.235,9.924,255626,7.955,1.3694,9.222,8.527,26,19,727,9.956,1.160.328,107.939,109.669,343.566,367.052,360.078,-242,-1.948,-143,2.1349,1.9047,2.114,-36193017856,-31869222912,-32727050240,580.145,539.679,548.325,DEGLET
211558,1.743.938,6.571.328,4.131.603,7.776,5.190.029,992,213269,764,1.5905,8.741,7.898,31,2,6.238,9.921,1.268.893,1.248.217,1.140.865,353.032,309.954,28.24,-8.952,-9.141,-5.635,2.7951,3.1958,2.709,-36284035072,-34353520640,-28170346496,634.437,624.065,570.393,DEGLET
351733,22.611.001,8.403.734,5.442.642,7.619,6.692.087,9.787,359388,7.617,1.5441,8.645,7.963,24,15,6.341,9.791,1.163.906,1.017.665,1.127.167,413.592,412.978,307.947,386,3.882,2.362,1.9861,1.7801,2.1036,-52839497728,-41059827712,-46387412992,58.194,508.817,563.563,DEGLET
226442,1776.88,6.244.857,4.638.141,6.696,5.369.496,9.875,229315,7.072,1.3464,9.013,8.598,28,2,7.393,9.954,917.873,821.482,875.206,309.448,269.552,277.023,2.287,6.352,1.031,2.4475,2.9578,2.2858,-19855611904,-15432910848,-17585782784,45.896,410.757,43.763,DEGLET
274959,1.959.943,7.183.584,4.890.562,7.325,5.916.829,9.897,277815,7.654,1.4689,8.995,8.237,26,18,6.784,9.965,832.719,704.643,823.704,310.409,291.865,276.167,4.867,5.965,2.118,2.5615,2.8309,2.4218,-20018171904,-14336789504,-18938886144,416.391,352.363,41.189,DEGLET
198410,1.695.782,6.367.207,3.985.815,7.798,5.026.166,9.875,200919,7.634,1.5975,867,7.894,32,2,6.231,9.954,1.117.733,1.030.843,1.053.398,351.355,273.357,270.205,-9.355,-7.488,-6.552,2.6875,2.6843,2.464,-26364725248,-21340944384,-22269919232,558.844,515.421,526.687,DEGLET
215507,1.800.814,7.070.419,3.892.315,8.348,5.238.244,9.928,217059,6.542,1.8165,8.351,7.409,33,18,5.489,9.971,1.111.776,964.777,948.133,300.357,277.418,217.143,-5.356,-221,-4.111,2.7461,2.3703,4.3451,-27486885888,-20338270208,-18856161280,555.896,482.413,474.094,DEGLET
209998,1.728.412,6.196.617,4.334.965,7.146,5.170.858,9.851,213177,7.319,1.4295,8.833,8.345,3,21,6.963,9.954,111.896,102.51,1.004.145,30.767,280.681,240.117,-4.073,1.148,85,3.0352,2.3582,2.5733,-27255816192,-22460907520,-20996173824,559.466,51.257,502.092,DEGLET
267943,1.993.986,7.601.838,4.516.438,8.044,5.840.853,9.863,271677,748,1.6831,8.469,7.683,28,17,5.904,9.937,1.213.475,1.115.089,1.116.365,301.242,274.207,27.565,-5.242,-473,-2.968,2.84,2.4012,2.5466,-40899383296,-33908801536,-34006165504,606.703,557.531,558.172,DEGLET
252950,1.909.678,7.389.279,4.380.078,8.054,5.675.085,9.929,254759,713,1.687,8.716,768,29,17,5.898,9.951,1.184.135,1.002.162,1.034.286,320.245,288.399,226.015,-3.213,2.341,-1.755,2.6045,2.1199,3.0721,-37096386560,-25982603264,-26684616704,592.035,50.111,517.149,DEGLET
